ime,gorovje,višina (m),število ogledov,priljubljenost (mesto),število planinskih točk v okolici,število poti
Galetovec,Julijske Alpe,1265,490847,285,4,9

Zgornji Goreljek (Pokljuka),Julijske Alpe,1260,1910,2121,3,1

Planina Krnica,Julijske Alpe,1252,394256,626,2,1

Idrska planina,Julijske Alpe,1250,274527,1085,3,2

Planina Zgornja Grintovica,Julijske Alpe,1250,371359,713,6,2

Turn (nad Bohinjsko Belo),Julijske Alpe,1249,1120,2222,5,4

Planina Zagreben,Julijske Alpe,1240,461,2386,2,1

Belska planina,Julijske Alpe,1237,1380,2180,3,3

Izvir Nadiže,Julijske Alpe,1232,1210,2212,7,1

Planina Leskovca,Julijske Alpe,1230,361308,750,7,1

Koča na Gozdu,Julijske Alpe,1226,460096,379,13,1

Bivak Hlek,Julijske Alpe,1225,307382,959,0,2

Spodnji Goreljek (Pokljuka),Julijske Alpe,1222,1330,2189,1,1

Italijanska vojaška kapela na Planici,Julijske Alpe,1220,260295,1140,2,2

Svinska planina,Julijske Alpe,1214,302564,975,5,1

Škrbina (Mežakla),Julijske Alpe,1210,333202,862,1,2

Planina Zaprikraj,Julijske Alpe,1208,384856,663,0,1

Lovčev bivak Pri Koucah,Julijske Alpe,1192,216531,1312,11,1

Police,Julijske Alpe,1184,1227,2207,2,1

Planina Bala,Julijske Alpe,1181,248008,1190,4,1

Planina Spodnja Grintovica,Julijske Alpe,1175,356528,768,6,2

Planina Ilovec,Julijske Alpe,1170,430,2400,4,1

Bivak na Črniku,Julijske Alpe,1160,253544,1168,5,1

Planina Pretovč,Julijske Alpe,1160,249931,1184,5,2

Koča na Uskovnici,Julijske Alpe,1154,552611,120,0,7

Zgornji Martuljkov slap,Julijske Alpe,1150,401013,599,9,2

Planina Blato,Julijske Alpe,1147,510580,220,5,1

Planina Medrja,Julijske Alpe,1133,212606,1329,7,1

Ruska kapelica,Julijske Alpe,1130,343857,818,10,1

Snežna jama na Mežakli,Julijske Alpe,1130,311657,940,4,1

Bedančev dom,Julijske Alpe,1116,6550,1995,2,1

Koča v Krnici,Julijske Alpe,1113,526554,178,4,3

Dom v Tamarju,Julijske Alpe,1108,542592,138,10,3

Hotunjski vrh,Julijske Alpe,1107,3240,2041,2,4

Planina Lom,Julijske Alpe,1090,265932,1118,3,1

Mihov dom na Vršiču,Julijske Alpe,1085,399171,604,7,1

Kobala,Julijske Alpe,1080,239558,1224,4,1

Malga Cuarnan,Julijske Alpe,1070,180,2548,2,1

Planina v Prodih,Julijske Alpe,1070,410,2411,4,1

Kosijev dom na Vogarju,Julijske Alpe,1054,489507,289,3,1

Koča na planini Stador,Julijske Alpe,1050,308564,954,5,0

Partizanska bolnišnica na Mežakli,Julijske Alpe,1050,185086,1436,0,1

Kup,Julijske Alpe,1046,264303,1125,7,1

