ime planinske točke,ime bližnje točke,višina bližnje točke (m)
Dom na Kališču,Srednji vrh,1853
Dom na Kališču,Cjanovca,1820
Dom na Kališču,Mali Grintovec,1813
Dom na Kališču,Bašeljski vrh,1744
Dom na Kališču,Licjanovec,1733
Dom na Kališču,Planina Dolga njiva,1600
Dom na Kališču,Planina Kališče,1450
Dom na Kališču,Praprotnikova koča,1380
Dom na Kališču,Gradišče (Pustinjak),871
Dom na Kisovcu,Poljanski rob,1569
Dom na Kisovcu,Domžalski dom na Mali planini,1534
Dom na Kisovcu,Črnuški dom na Mali planini,1526
Dom na Kisovcu,Jarški dom na Mali planini,1520
Dom na Kisovcu,Sveti Primož in Sveti Peter,826
Dom na Kofcah,Veliki vrh (Košuta),2088
Dom na Kofcah,Toplar,2000
Dom na Kofcah,Kofce gora,1967
Dom na Kofcah,Zavetišče na planini Šija,1528
Dom na Kofcah,Planina Ilovica,1462
Dom na Kofcah,Robič,1384
Dom na Kofcah,Planina Dolžanka,1090
Dom na Kofcah,Jezero pri Čežov,1010
Dom na Komni,Koča pod Bogatinom,1513
Dom na Komni,Planina Govnjač,1480
Dom na Krvavcu,Veliki Zvoh,1971
Dom na Krvavcu,Krvavec,1853
Dom na Krvavcu,Planina Koren,1675
Dom na Krvavcu,Kržišče (Pokovše),1658
Dom na Krvavcu,Hotel Krvavec,1600
Dom na Krvavcu,Dom na Gospincu,1491
Dom na Krvavcu,Kriška planina,1480
Dom na Krvavcu,Planina Jezerca,1410
Dom na Lovrencu (Bašelj),Sveti Lovrenc (Bašelj),892
Dom na Lovrencu (Bašelj),Gradišče (Pustinjak),871
Dom na Lovrencu (Bašelj),Sv. Miklavž nad Mačami,651
Dom na Matajure,Matajur,1642
Dom na Matajure,Visoka glava (na Matajurju),1540
Dom na Menini planini,Vivodnik,1508
Dom na Menini planini,Špic,1499
Dom na Okrešlju,Kranjska Rinka,2453
Dom na Okrešlju,Koroška Rinka (Križ),2433
Dom na Okrešlju,Štajerska Rinka,2374
Dom na Okrešlju,Mala Rinka,2289
Dom na Okrešlju,Brana,2253
Dom na Okrešlju,Turska gora,2251
Dom na Okrešlju,Mrzla gora,2203
Dom na Okrešlju,Bivak pod Skuto,2070
Dom na Okrešlju,Bivak pod Mrzlim vrhom,1980
Dom na Okrešlju,Kamniška koča na Kamniškem sedlu,1864
Dom na Okrešlju,Orlovo gnezdo (Slap Rinka),1000
Dom na Paškem Kozjaku,Ostrica,1182
Dom na Paškem Kozjaku,Špik (Paški Kozjak),1108
Dom na Paškem Kozjaku,Sveti Jošt na Paškem Kozjaku,1063
Dom na Paškem Kozjaku,Plakopec (Brezejec),1005
Dom na Paškem Kozjaku,Visoko,991
Dom na Peci,Kordeževa glava (Peca),2125
Dom na Peci,Mala Peca,1731
Dom na Peci,Votlina Kralja Matjaža,1670
Dom na Smrekovcu,Smrekovec,1577
Dom na Tromeji,Petelinjek (nad Korenskim sedlom),1552
Dom na Tromeji,Peč (Tromeja),1508
Dom na Tromeji,Kopa / Monte Coppa,1496
Dom na Tromeji,Kališje,1435
Dom na Tromeji,Dreiländereck Hütte,1423
Dom na Tromeji,Bivak brez meja / Bivacco Senza Confini,1319
Dom na Tromeji,Marija Snežna (Kavalar) / Madonna della Neve,1275
Dom na Uršlji gori,Uršlja gora (Plešivec),1699
Dom na Zelenici,Begunjščica,2060
Dom na Zelenici,Palec,2026
Dom na Zelenici,Begunjska Vrtača,1991
Dom na Zelenici,Žleb (Suho ruševje),1916
Dom na Zelenici,Srednji vrh (nad Završnico),1796
Dom na Zelenici,Na Možeh,1784
Dom na Zelenici,Vrh Ljubeljščice (Triangel),1704
Dom na Zelenici,Spodnji Plot,1682
Dom na Zelenici,Koča pri izviru Završnice,1425
Dom na Zelenici,Koča Vrtača,1288
Dom na Čreti,Vrhe,965
Dom na Čreti,Sveta Mati Božja na Čreti,944
Dom na Čreti,Dom planincev Farbanca,702
Dom planincev Farbanca,Tolsti vrh (Dobrovlje),1077
Dom planincev Farbanca,Vrhe,965
Dom planincev Farbanca,Sveta Mati Božja na Čreti,944
Dom planincev Farbanca,Dom na Čreti,870
Dom pod Storžičem,Storžič,2132
Dom pod Storžičem,Planina Javornik,1550
Dom pod Storžičem,Grebenc,1479
Dom pod Storžičem,Velika Poljana,1410
Dom pod Storžičem,Krničarjeva koča na planini Javornik,1390
Dom pod Storžičem,Mala Poljana,1325
Dom pri Krnskih jezerih,Veliki Lemež,2042
Dom pri Krnskih jezerih,Velika Baba,2016
Dom pri Krnskih jezerih,Velika Montura,1958
Dom pri Krnskih jezerih,Veliki Šmohor,1944
Dom pri Krnskih jezerih,Mali Šmohor,1939
Dom pri Krnskih jezerih,Planina na Polju,1530
Dom pri Krnskih jezerih,Krnsko jezero,1391
Dom v Dragi,Tolsti vrh (pri Poljški planini),1225
Dom v Dragi,Tomčeva koča na Poljški planini,1180
Dom v Dragi,Planina Planinca,1136
Dom v Dragi,Pleče,1131
Dom v Dragi,Grad Kamen,620
Dom v Kamniški Bistrici,Mokrica,1853
Dom v Kamniški Bistrici,Kamniški Dedec,1583
Dom v Kamniški Bistrici,Kopa (Belska Kopa),1180
Dom v Kamniški Bistrici,Mešenik,1099
Dom v Tamarju,Travnik,2379
Dom v Tamarju,Velika Mojstrovka,2366
Dom v Tamarju,Zadnja Mojstrovka,2354
Dom v Tamarju,Mala Mojstrovka,2332
Dom v Tamarju,Visoka Ponca,2274
Dom v Tamarju,Strug,2265
Dom v Tamarju,Zadnja Ponca,2242
Dom v Tamarju,Srednja Ponca,2228
Dom v Tamarju,Slemenova špica,1911
Dom v Tamarju,Izvir Nadiže,1232
Dom Čemšenik,Javorov vrh,1434
Dom Čemšenik,Potoška gora,1283
Dom Čemšenik,Škrbina (Slaparjeva gora),1142
Dom Čemšenik,Baba,1119
Dom Čemšenik,Mihčeva kopišča,1100
Domžalski dom na Mali planini,Gradišče (Velika planina),1666
Domžalski dom na Mali planini,Gostišče Zeleni Rob,1612
Domžalski dom na Mali planini,Poljanski rob,1569
Domžalski dom na Mali planini,Kapela Marije Snežne (Velika planina),1560
Domžalski dom na Mali planini,Črnuški dom na Mali planini,1526
Domžalski dom na Mali planini,Jarški dom na Mali planini,1520
Domžalski dom na Mali planini,Dom na Kisovcu,1275
Domžalski dom na Mali planini,Planina Marjanine njive,1220
Donačka gora,Rudijev dom na Donački gori,590
Donačka gora,Sveti Donat,511
Doslovška planina,Prešernova koča na Stolu,2174
Doslovška planina,Lovska koča nad Doslovško planino,1325
Doslovška planina,Zabreška planina,1225
Doslovška planina,Slap pod Kurico,760
Dovška Baba,Hruški vrh,1776
Dovška Baba,Koprivnjak / Kleiner Frauenkogel,1754
Dovška Baba,Planina Dovška Rožca,1650
Dovška Baba,Planina Rožca / Roschitzaalm,1407
Dovška Baba,Hruška planina,1378
Dovška Mala Kepa,Kepa,2143
Dovška Mala Kepa,Gubno,2035
Dovška Mala Kepa,Koča Berta / Bertahütte,1527
Dovška Mala Kepa,Lovska koča na Brvogih,1425
Dovški križ,Škrlatica,2740
Dovški križ,Visoki Rokav,2646
Dovški križ,Veliki Oltar,2621
Dovški križ,Velika Martuljška Ponca,2602
Dovški križ,Mala Martuljška Ponca,2501
Dovški križ,Spodnji Rokav,2500
Dovški križ,Široka peč,2497
Dovški križ,Kukova špica,2427
Dovški križ,Šplevta,2272
Dovški križ,Bivak na Jezerih,2118
Dovški križ,Na Pečeh,2039
Dovški križ,Pri treh macesnih,1810
Dravh,Slatnik (severozahodni vrh),1609
Dravh,Možic,1602
Dravh,Slatnik (jugovzhodni vrh),1597
Dravh,Lajnar,1549
Dravh,Črni vrh (nad Soriško planino),1486
Dravh,Tonderškofel,1326
Dravh,Erbelc,1308
Dravh,Koča na Soriški planini,1306
Dravh,Lovčev bivak Pri Koucah,1192
Draški rob,Veliki Draški vrh,2243
Draški rob,Mali Draški vrh,2132
Draški rob,Veliki Pršivec,2056
Draški rob,Viševnik,2050
Draški rob,Ablanca,2004
Draški rob,Debeli vrh nad Lipanco,1962
Draški rob,Veliki Selišnik,1952
Draški rob,Vrh Razora,1893
Draški rob,Studorski preval,1892
Draški rob,Srednji Selišnik,1890
Draški rob,Plesišče,1790
Draški rob,Planina Konjščica,1438
Dreiländereck Hütte,Petelinjek (nad Korenskim sedlom),1552
Dreiländereck Hütte,Peč (Tromeja),1508
Dreiländereck Hütte,Kopa / Monte Coppa,1496
Dreiländereck Hütte,Bivak brez meja / Bivacco Senza Confini,1319
Dreiländereck Hütte,Dom na Tromeji,1145
Drobeče Sleme,Kukova špica,2427
Drobeče Sleme,Sleme,2077
Drobeče Sleme,Vrtaški vrh,1898
Dve špici/Due Pizzi,Bivak Bernardinis,1907
Erjavčev rovt (Planina Mlinca),Planina Dovška Rožca,1650
Erjavčev rovt (Planina Mlinca),Planica,1508
Erjavčev rovt (Planina Mlinca),Borovje,1476
Erjavčev rovt (Planina Mlinca),Lovska koča na Brvogih,1425
Erjavčev rovt (Planina Mlinca),Rovt Vrse,1200
Erjavčeva koča na Vršiču,Velika Mojstrovka,2366
Erjavčeva koča na Vršiču,Mala Mojstrovka,2332
Erjavčeva koča na Vršiču,Suhi vrh,2109
Erjavčeva koča na Vršiču,Šitna glava,2087
Erjavčeva koča na Vršiču,Prednje Robičje,1941
Erjavčeva koča na Vršiču,Slemenova špica,1911
Erjavčeva koča na Vršiču,Kumlehova glava,1788
Erjavčeva koča na Vršiču,Sovna glava,1750
Erjavčeva koča na Vršiču,Vršič vrh,1737
Erjavčeva koča na Vršiču,Poštarski dom na Vršiču,1688
Erjavčeva koča na Vršiču,Tičarjev dom na Vršiču,1618
Erjavčeva koča na Vršiču,Visoki Mavrinc,1562
Erjavčeva koča na Vršiču,Tonkina koča na Vršiču,1380
Erjavčeva koča na Vršiču,Koča na Gozdu,1226
Erjavčeva koča na Vršiču,Ruska kapelica,1130
Erjavčeva koča na Vršiču,Mihov dom na Vršiču,1085
Eva,Debeli vrh,2390
Eva,Vrh Hribaric,2388
Eva,Mišelj vrh,2350
Eva,Škednjovec,2309
Eva,Ogradi,2087
Eva,Prevalski Stog,2075
Eva,Jezerski Stog,2040
Eva,Adam,2012
Eva,Krsteniški Stog,1879
Eva,Planina Jezerce,1720
Eva,Planina Krstenica,1670
Eva,Planina pod Mišelj vrhom,1645
Eva,Planina v Lazu,1560
Florjanka / Monte Florianca,Svete Višarje / Monte Lussari,1766
Florjanka / Monte Florianca,Višarska planina / Malga di Lussari,1570
Formila na Boču,Boč,978
Formila na Boču,Sveta Marjeta na Boču,655
Formila na Boču,Partizanska bolnica na Formili/Boču,630
Formila na Boču,Studeniški grad,315
Fričev vrh,Časov vrh,821
Fričev vrh,Sveti Rupert (Završe),815
Fričev vrh,Črepič,798
Frčkova planina,Vošni vrh,1621
Frčkova planina,Gogalova lipa,725
Gabrovec,Muzec (Musc),1612
Gabrovec,Bivak pod Muzcem,1550
Gabrovec,Nizki vrh,1488
Gabrovec,Klatnica,1000
Galetovec,Turn (nad Bohinjsko Belo),1249
Galetovec,Belska planina,1237
Galetovec,Planina Ilovec,1170
Galetovec,Planina za Jamo,1005
Gank,Planina Stamare,1400
Gank,Velika Boncla,1241
Gank,Alničje,1145
Gank,Malnež,846
Gank,Gradišče nad Sotesko (Soteska),724
Gank,Strana,711
Gank,Čopov rovt,710
Gank,Javorniški slapovi,690
Glava v Zaplanji,Triglav,2864
Glava v Zaplanji,Mali Triglav,2725
Glava v Zaplanji,Kredarica,2541
Glava v Zaplanji,Morbegna,2520
Glava v Zaplanji,Triglavski dom na Kredarici,2515
Glava v Zaplanji,Dom Planika pod Triglavom,2401
Glava v Zaplanji,Šmarjetna glava,2358
Glava v Zaplanji,Koča na Doliču,2151
Glava v Zaplanji,Luknja,1758
Glava v Zaplanji,Bivak pod Luknjo,1480
Glave,Visoka Ponca,2274
Glave,Zadnja Ponca,2242
Glave,Srednja Ponca,2228
Glave,Mala Ponca,1925
Glave,Zavetišče pod Ponco,1657
Glave,Rifugio Zacchi,1380
Gogalova lipa,Jerebikovec,1593
Gogalova lipa,Frčkova planina,1335
Golarjeva peč,Sveti Duh pod Olševo,1232
Golarjeva peč,Železna (Kisla) voda,1115
Goli vrh,Jenkova planina,1495
Goli vrh (Šavnice),Zavetišče na Biba planini,1300
Golica,Krvavka,1784
Golica,Mala Golica,1646
Golica,Koča na Golici,1582
Golica,Planina Možine,1352
Golica,Planina Kladje / Quadiaalm,1271
Goličica,Planja,2453
Goličica,Lovska koča Na Utrci,1500
Goličica,Korita Mlinarice,770
Goličica,Belopotoški slap,720
Gomiščkovo zavetišče na Krnu,Krn,2244
Gomiščkovo zavetišče na Krnu,Vrh nad Peski,2176
Gomiščkovo zavetišče na Krnu,Batognica,2164
Gomiščkovo zavetišče na Krnu,Krnčica,2142
Gomiščkovo zavetišče na Krnu,Srednji vrh,2032
Gomiščkovo zavetišče na Krnu,Bivak na Črniku,1160
Gonžarjeva peč,Ramšakov vrh,970
Gonžarjeva peč,Radojč,937
Gonžarjeva peč,Temnjak,798
Gora Oljka,Brezovec,617
Gorejca,Nemške glave,1597
Gorejca,Slap Parabola,700
Gostišče Zeleni Rob,Gradišče (Velika planina),1666
Gostišče Zeleni Rob,Koritni vrh (Velika planina),1648
Gostišče Zeleni Rob,Poljanski rob,1569
Gostišče Zeleni Rob,Kapela Marije Snežne (Velika planina),1560
Gostišče Zeleni Rob,Domžalski dom na Mali planini,1534
Gostišče Zeleni Rob,Planina Konjščica (Velika planina),1505
Gostišče Zeleni Rob,Planina Dol,1308
Govca (Olševa),Obel kamen (Olševa),1911
Govca (Olševa),Potočka zijalka,1660
Govca (Olševa),Govševa planina,1300
Govca (Olševa),Izvir reke Meže,1230
Govševa planina,Govca (Olševa),1929
Govševa planina,Špičasti vrh / Spitzberg,1551
Govševa planina,Snežnik (nad Koprivno),1543
Govševa planina,Planina Rep (Repija),1330
Govševa planina,Izvir reke Meže,1230
Grad Gutenberk (Hudi grad),Vaško,1046
Grad Gutenberk (Hudi grad),Sveti Jurij nad Tržičem,673
Grad Kamen,Sveti Peter nad Begunjami,839
Grad Kamen,Dom v Dragi,689
Grad Konjice,Skala,750
Grad Lindek,Stenica,1091
Grad Lindek,Špicasti  vrh (Kislica),994
Grad Lindek,Lindeški slap,555
Grad Žovnek,Grmada (Dobrovlje),898
Grad Žovnek,Sveti Janez in Pavel (Dobrovlje),862
Gradišče (Bodešče),Lovska koča na Taležu,725
Gradišče (Bodešče),Sveti Lenart (Bodešče),485
Gradišče (Bodešče),Šobčev bajer,426
Gradišče (Pustinjak),Dom na Kališču,1534
Gradišče (Pustinjak),Planina Kališče,1450
Gradišče (Pustinjak),Krničarjeva koča na planini Javornik,1390
Gradišče (Pustinjak),Sveti Lovrenc (Bašelj),892
Gradišče (Pustinjak),Dom na Lovrencu (Bašelj),860
Gradišče (Pustinjak),Sv. Miklavž nad Mačami,651
Gradišče (Velika planina),Koritni vrh (Velika planina),1648
Gradišče (Velika planina),Gostišče Zeleni Rob,1612
Gradišče (Velika planina),Poljanski rob,1569
Gradišče (Velika planina),Kapela Marije Snežne (Velika planina),1560
Gradišče (Velika planina),Domžalski dom na Mali planini,1534
Gradišče (Velika planina),Črnuški dom na Mali planini,1526
Gradišče (Velika planina),Jarški dom na Mali planini,1520
Gradišče (Velika planina),Planina Konjščica (Velika planina),1505
Gradišče nad Sotesko (Soteska),Ajdna,1046
Gradišče nad Sotesko (Soteska),Gank,850
Gradišče nad Sotesko (Soteska),Malnež,846
Gradišče nad Sotesko (Soteska),Strana,711
Gradišče nad Sotesko (Soteska),Spominsko obeležje Aleš Kunaver,660
Gradovec,Raskovec,1967
Gradovec,Mali Raskovec,1946
Gradovec,Suha Rodica (Novi vrh),1944
Gradovec,Matajurski vrh,1936
Gradovec,Poljanski vrh,1897
Gradovec,Lovska koča na Glinu,1527
Gradovec,Planina Poljana,1466
Grančišče,Jezero Kreda,715
Grebenc,Tolsti vrh,1715
Grebenc,Velika Poljana,1410
Grebenc,Krničarjeva koča na planini Javornik,1390
Grebenc,Mala Poljana,1325
Grebenc,Dom pod Storžičem,1123
Grilova kapela na Boču,Plešivec,822
Grintovec,Jezerska Kočna,2540
Grintovec,Skuta,2532
Grintovec,Kokrska Kočna,2520
Grintovec,Na Križu (Kokrska Kočna),2484
Grintovec,Dolgi hrbet,2473
Grintovec,Štruca,2457
Grintovec,Bivak pod Grintovcem,2100
Grintovec,Kogel,2100
Grintovec,Bivak v Kočni,1952
Grintovec,Vratca,1802
Grintovec,Cojzova koča na Kokrskem sedlu,1793
Grintovec,Kranjska koča na Ledinah,1700
Grintovec,Češka koča na Spodnjih Ravneh,1542
Grintovec,Slap Čedca,1350
Grlovec / Ferlacher Horn,Borovski vrh (Žehtar) / Sechter,1449
Grmada (Dobrovlje),Sveti Janez in Pavel (Dobrovlje),862
Grmada (Dobrovlje),Grad Žovnek,409
Grpišca,Vošca,1737
Grpišca,Tamarča,1728
Grpišca,Visoka Bavha,1650
Grpišca,Srnjak,955
Grušnica,Tolminski Migovec,1868
Grušnica,Planina na Kalu,1490
Grušnica,Javor (nad Tolminskimi Ravnami),1363
Gubno,Škrlatica,2740
Gubno,Razor,2601
Gubno,Dolkova špica,2591
Gubno,Rogljica,2547
Gubno,Stenar,2501
Gubno,Planja,2453
Gubno,Križ,2410
Gubno,Šplevta (Indijanec),2382
Gubno,Kriški rob,2366
Gubno,Spodnji Stenar,2356
Gubno,Zgornje Kriško jezero,2158
Gubno,Kepa,2143
Gubno,Dovška Mala Kepa,2077
Gubno,Pogačnikov dom na Kriških podih,2050
Gubno,Bivak na Rušju,1980
Gubno,Koča Berta / Bertahütte,1527
Gubno,Lovska koča na Brvogih,1425
Hajnžev Praprotnik / Zeller Prapotnik,Veliki vrh (Košuta),2088
Hajnžev Praprotnik / Zeller Prapotnik,Toplar,2000
Hajnžev Praprotnik / Zeller Prapotnik,Košutica,1968
Hajnžev Praprotnik / Zeller Prapotnik,Lokovnikov Grintovec / Grintoutz,1809
Hajnžev Praprotnik / Zeller Prapotnik,Hajnževo sedlo,1701
Hajnževo sedlo,Veliki vrh (Košuta),2088
Hajnževo sedlo,Toplar,2000
Hajnževo sedlo,Košutica,1968
Hajnževo sedlo,Kofce gora,1967
Hajnževo sedlo,Lokovnikov Grintovec / Grintoutz,1809
Hajnževo sedlo,Zajmenove peči,1745
Hajnževo sedlo,Hajnžev Praprotnik / Zeller Prapotnik,1727
Hajnževo sedlo,Planina Korošica,1554
Hom (nad Prevaljami),Bivak Suška bajta,1034
Hom pri Bledu,Boršt,931
Hom pri Bledu,Vrše,850
Hom pri Bledu,Sveta Katarina na Homu,634
Hom pri Bledu,Slap Šum v Blejskem Vintgarju,520
Hotel Golte,Boskovec,1587
Hotel Golte,Medvedjak,1573
Hotel Golte,Koča na Treh plotih,1530
Hotel Golte,Javorca (Golte),1465
Hotel Golte,Mozirska koča na Golteh,1356
Hotel Krvavec,Veliki Zvoh,1971
Hotel Krvavec,Krvavec,1853
Hotel Krvavec,Dom na Krvavcu,1684
Hotel Krvavec,Planina Koren,1675
Hotel Krvavec,Kržišče (Pokovše),1658
Hotel Krvavec,Dom na Gospincu,1491
Hotel Krvavec,Kriška planina,1480
Hotel Krvavec,Planina Jezerca,1410
Hotunjski vrh,Planina Rčitno,900
Hotunjski vrh,Pokljuška soteska (luknja),830
Hrašenska planina,Mali vrh,2017
Hrašenska planina,Kamnitnik,1858
Hrašenska planina,Bivak na Belščici,1750
Hrašenska planina,Planina Seča,1698
Hrašenska planina,Planina Stamare,1400
Hrašenska planina,Velika Boncla,1241
Hrašenska planina,Alničje,1145
Hrašenska planina,Mala Boncla (Bavha),1131
Hrašenska planina,Izvir Javornika,1000
Hribarska (Huda) zijalka,Sveti Duh pod Olševo,1232
Hruška planina,Dovška Baba,1891
Hruška planina,Hruški vrh,1776
Hruška planina,Koprivnjak / Kleiner Frauenkogel,1754
Hruška planina,Klek,1753
Hruška planina,Rožca,1587
Hruška planina,Planina Rožca / Roschitzaalm,1407
Hruška planina,Jeseniška planina,1380
Hruška planina,Slapovi v Preski,910
Hruška planina,Slapovi Dobršnik,800
Hruški vrh,Dovška Baba,1891
Hruški vrh,Koprivnjak / Kleiner Frauenkogel,1754
Hruški vrh,Klek,1753
Hruški vrh,Planina Dovška Rožca,1650
Hruški vrh,Rožca,1587
Hruški vrh,Planina Rožca / Roschitzaalm,1407
Hruški vrh,Jeseniška planina,1380
Hruški vrh,Hruška planina,1378
Humčič,Javoršček,1557
Humčič,Slap Slatenik,750
Humčič,Dolina Škratov,700
Icmanikova planina,Strelovec,1763
Icmanikova planina,Logarska peč,1536
Icmanikova planina,Knezova planina,1520
Icmanikova planina,Plesnikova planina,1319
Icmanikova planina,Slap Palenk,730
Idrska planina,Mrzli vrh (na Matajurju),1358
Idrska planina,Srednji vrh (na Matajurju),1320
Idrska planina,Svinska planina,1214
Iglica,Planina Rčitno,900
Iglica,Gradišče pod Babjim zobom,824
Iglica,Mala Osojnica,691
Iglica,Sveti Štefan (Kupljenik),642
Ingotova koča na planini Jesenje,Rutarski Vršič,1699
Ingotova koča na planini Jesenje,Bivak pod Špikom,1424
Ingotova koča na planini Jesenje,Bivak Za Akom,1340
Ingotova koča na planini Jesenje,Zgornji Martuljkov slap,1150
Ingotova koča na planini Jesenje,Spodnji Martuljkov slap,850
Italijanska vojaška kapela na Planici,Planica pod Krnom,1376
Italijanska vojaška kapela na Planici,Koča na planini Kuhinja,1002
Izletniška kmetija Bukovc (Bukovnik),Koča na Grohatu,1460
Izvir Bele,Muzec (Musc),1612
Izvir Bele,Klatnica,1000
Izvir Bele,Sveta Marjeta pod Stolom,973
Izvir Bele,Marija Snežna v Breginjskem kotu,645
Izvir Boke,Veliki Babanski Skedenj,2121
Izvir Boke,Slap Boka,680
Izvir Boke,Mala Boka,440
Izvir Glijuna,Planina Krnica,1252
Izvir Glijuna,Jama Srnica,550
Izvir Glijuna,Slap Virje,400
Izvir Javornika,Struška,1944
Izvir Javornika,Kamnitnik,1858
Izvir Javornika,Belska planina (Svečica),1700
Izvir Javornika,Planina Seča,1698
Izvir Javornika,Hrašenska planina,1670
Izvir Javornika,Planina Stamare,1400
Izvir Javornika,Velika Boncla,1241
Izvir Javornika,Mala Boncla (Bavha),1131
Izvir Javornika,Dom Pristava v Javorniškem Rovtu,975
Izvir Javornika,Javorniški slapovi,690
Izvir Lipnika,Pokljuška soteska (luknja),830
Izvir Lipnika,Jezerce v dolini Radovne,657
Izvir Nadiže,Vevnica,2342
Izvir Nadiže,Visoka Ponca,2274
Izvir Nadiže,Strug,2265
Izvir Nadiže,Zadnja Ponca,2242
Izvir Nadiže,Srednja Ponca,2228
Izvir Nadiže,Slemenova špica,1911
Izvir Nadiže,Dom v Tamarju,1108
Izvir Soče,Suhi vrh,2109
Izvir Soče,Korita Mlinarice,770
Izvir Tolminke,Planina Dobrenjščica,1304
Izvir Tolminke,Žičnica čez Tolminko,500
