točka,vrsta
Ovča koča,planina
Ovčji vrh (Kozjak) / Geissberg (Kosiak),vrh
Ožarjeni kamen,
Palec,vrh
Partizanska bolnica Krtina,
Partizanska bolnica Mrzle vode,
Partizanska bolnica na Formili/Boču,
Partizanska bolnišnica na Mežakli,
Petelinjek (nad Korenskim sedlom),vrh
Peč (Tromeja),vrh
Peč (razgledišče),vrh
Pečovnik,vrh
Pečovnik (kota 1668),vrh
Pihavec,vrh
Pikov vrh,vrh
Plakopec (Brezejec),vrh
Planica,vrh
Planica (vzletišče Gozd),vrh
Planica pod Krnom,vrh
Planina Arta,planina
Planina Bala,planina
Planina Blatce,planina
Planina Blato,planina
Planina Dedno Polje,planina
Planina Dobrenjščica,planina
Planina Dol,planina
Planina Dolga njiva,planina
Planina Dolga njiva (Krvavec),planina
Planina Dolga trata,bivak
Planina Dolga trata,planina
Planina Dolžanka,planina
Planina Dovška Rožca,koča
Planina Dovška Rožca,planina
Planina Goričica,planina
Planina Gorjuda,bivak
Planina Gorjuda,planina
Planina Govnjač,planina
Planina Ilovec,planina
Planina Ilovica,planina
Planina Javorje,planina
Planina Javornik,planina
Planina Jezerca,planina
Planina Jezerce,planina
Planina Jezerce,jezero
Planina Kališče,planina
Planina Kladje / Quadiaalm,planina
Planina Klek,planina
Planina Konjščica,koča
Planina Konjščica,planina
Planina Konjščica (Velika planina),planina
Planina Koren,planina
Planina Korošica,koča
Planina Korošica,planina
Planina Košutna,cerkev
Planina Košutna,planina
Planina Krnica,planina
Planina Krstenica,planina
Planina Laška seč,planina
Planina Leskovca,planina
Planina Lom,sedlo
Planina Lom,planina
Planina Lopučnica,planina
Planina Luža,sedlo
Planina Luža,planina
Planina Mali Travnik,planina
Planina Marjanine njive,planina
Planina Medrja,planina
Planina Možine,planina
Planina Obranica,koča
Planina Obranica,planina
Planina Osredek,planina
Planina Osredki,bivak
Planina Osredki,planina
Planina Ovčarija,planina
Planina Planinca,koča
Planina Planinca,planina
Planina Podvežak,planina
Planina Poljana,planina
Planina Polšak,planina
Planina Pretovč,sedlo
Planina Pretovč,planina
Planina Pungrat,planina
Planina Ravna,bivak
Planina Ravna,cerkev
Planina Ravna,planina
Planina Ravne,planina
Planina Ravne,planina
Planina Ravni,planina
Planina Rep (Repija),planina
Planina Rožca / Roschitzaalm,planina
Planina Rzenik,planina
Planina Rčitno,planina
Planina Seča,sedlo
Planina Seča,planina
Planina Sleme,sedlo
Planina Sleme,planina
Planina Spodnja Dolga njiva,koča
Planina Spodnja Dolga njiva,planina
Planina Spodnja Grintovica,planina
Planina Spodnja Konjščica,planina
Planina Stamare,planina
Planina Strehica,planina
Planina Suha,planina
Planina Travnik,planina
Planina Viševnik,koča
Planina Viševnik,planina
Planina Vodični vrh,planina
Planina Vodol,planina
Planina Vodole,planina
Planina Za skalo,planina
Planina Za Črno goro,planina
Planina Zadnji Vogel,planina
Planina Zagreben,planina
Planina Zajamniki,koča
Planina Zajamniki,planina
Planina Zajavornik,planina
Planina Zali potok,planina
Planina Zaprikraj,planina
Planina Zgornja Dolga njiva,planina
Planina Zgornja Grintovica,planina
Planina Zgornja Konjščica,sedlo
Planina Zgornja Konjščica,planina
Planina Zgornja Krma,planina
Planina Zgornja Luža,planina
Planina na Kalu,bivak
Planina na Kalu,planina
Planina na Polju,planina
Planina nad Sočo,planina
Planina pod Mišelj vrhom,planina
Planina pod Mišelj vrhom,jezero
Planina v Lazu,planina
Planina v Plazeh,sedlo
Planina v Plazeh,planina
Planina v Prodih,planina
Planina za Jamo,planina
Planina za Migovcem,planina
Planina za Šavnikom,bivak
Planina za Šavnikom,planina
Planina Črča,planina
Planinska koča Iskra na Jakobu,koča
Planinska koča Iskra na Jakobu,cerkev
Planinska koča Merjasec,koča
Planinska koča Velikonočnica,koča
Planinska koča pri Franciju,koča
Planinski dom Milana Šinkovca,koča
Planinski dom na kmetiji Kumer,koča
Planinski dom Šentjungert,vrh
Planinski dom Šentjungert,koča
Planinski dom Šentjungert,cerkev
Planinsko zavetišče Slatna,koča
Planja,vrh
Planja (nad Mangartsko planino),vrh
Planjava,vrh
Planjava pri Kamniškem vrhu,vrh
Plaski Vogel,vrh
Plesišče,vrh
Plesnikova planina,planina
Pleče,vrh
Plešivec,vrh
Plešivec,vrh
Plešivec (Loška stena),vrh
Plešivška kopa (Kozarnica),vrh
Podgorska planina / Maria Elender Alm,planina
Podkanjski slap / Wildensteiner Wasserfall,slap
Podrta gora,vrh
Pogačnikov dom na Kriških podih,vrh
Pogačnikov dom na Kriških podih,koča
Pogačnikov dom na Kriških podih,bivak
Poglejska cerkev,
Pogorevc,vrh
Pokljuška soteska (luknja),
Poldašnja špica/Jof di Miezegnot,vrh
Police,vrh
Poljanska baba,vrh
Poljanski rob,vrh
Poljanski rob,planina
Poljanski vrh,vrh
Polna peč,vrh
Poprovec,vrh
Potočka zijalka,
Potočnikova planina,planina
Potoška gora,vrh
Potoška planina,koča
Potoška planina,planina
Potoški Stol,vrh
Povšnarjeva planina,planina
Počitniški dom v Možnici,koča
Počitniški dom v Možnici,bivak
Počka (Robnikova) planina,planina
Poštarski dom na Vršiču,koča
Poštarski dom pod Plešivcem,koča
Požar,vrh
Požgana Mlinarica,vrh
Požgani rob,vrh
Praprotnikova koča,
Prednje Robičje,vrh
Prestreljenik,vrh
Prestreljeniško okno,
Prevala,sedlo
Prevala,planina
Prevalski Stog,vrh
Prešernova koča na Stolu,vrh
Prešernova koča na Stolu,koča
Prgozdnik,vrh
Pri Banderi,vrh
Pri Pastirjih,bivak
Pri Pastirjih,planina
